talisman_id,skill_id,skill1_min,skill1_max,skill2_min,skill2_max,source
1,0,0,0,0,0,mhxx-romfs-native-amulet-skill-table
1,1,1,5,0,0,mhxx-romfs-native-amulet-skill-table
1,2,1,5,0,0,mhxx-romfs-native-amulet-skill-table
1,3,1,5,0,0,mhxx-romfs-native-amulet-skill-table
1,4,1,8,0,0,mhxx-romfs-native-amulet-skill-table
1,5,0,0,0,0,mhxx-romfs-native-amulet-skill-table
1,6,0,0,0,0,mhxx-romfs-native-amulet-skill-table
1,7,1,7,0,0,mhxx-romfs-native-amulet-skill-table
1,8,1,7,0,0,mhxx-romfs-native-amulet-skill-table
1,9,1,10,0,0,mhxx-romfs-native-amulet-skill-table
1,10,1,10,0,0,mhxx-romfs-native-amulet-skill-table
1,11,0,0,0,0,mhxx-romfs-native-amulet-skill-table
1,12,0,0,0,0,mhxx-romfs-native-amulet-skill-table
1,13,1,10,0,0,mhxx-romfs-native-amulet-skill-table
1,14,1,7,0,0,mhxx-romfs-native-amulet-skill-table
1,15,1,3,0,0,mhxx-romfs-native-amulet-skill-table
1,16,0,0,0,0,mhxx-romfs-native-amulet-skill-table
1,17,1,5,0,0,mhxx-romfs-native-amulet-skill-table
1,18,1,4,0,0,mhxx-romfs-native-amulet-skill-table
1,19,1,4,0,0,mhxx-romfs-native-amulet-skill-table
1,20,1,8,0,0,mhxx-romfs-native-amulet-skill-table
1,21,1,6,0,0,mhxx-romfs-native-amulet-skill-table
1,22,1,6,0,0,mhxx-romfs-native-amulet-skill-table
1,23,1,6,0,0,mhxx-romfs-native-amulet-skill-table
1,24,1,6,0,0,mhxx-romfs-native-amulet-skill-table
1,25,1,6,0,0,mhxx-romfs-native-amulet-skill-table
1,26,0,0,0,0,mhxx-romfs-native-amulet-skill-table
1,27,0,0,0,0,mhxx-romfs-native-amulet-skill-table
1,28,0,0,0,0,mhxx-romfs-native-amulet-skill-table
1,29,0,0,0,0,mhxx-romfs-native-amulet-skill-table
